Timestamp,Model,Request tokens,Response tokens,Total tokens,Log Type
250,ChatGPT,61,3,64,API log
251,GPT-4,43,21,64,API log
252,ChatGPT,23,48,71,Conversation log
253,GPT-4,19,6,25,API log
254,ChatGPT,13,11,24,API log
255,GPT-4,28,48,76,Conversation log
256,ChatGPT,46,2,48,API log
257,GPT-4,35,34,69,API log
258,ChatGPT,25,26,51,Conversation log
259,GPT-4,38,41,79,API log
260,ChatGPT,74,45,119,API log
261,GPT-4,38,17,55,Conversation log
262,ChatGPT,92,15,107,API log
263,GPT-4,61,47,108,API log
264,ChatGPT,22,30,52,Conversation log
265,GPT-4,97,40,137,API log
266,ChatGPT,89,1,90,API log
267,GPT-4,79,48,127,Conversation log
268,ChatGPT,24,21,45,API log
269,GPT-4,81,9,90,API log
270,ChatGPT,73,32,105,Conversation log
271,GPT-4,78,23,101,API log
272,ChatGPT,74,36,110,API log
273,GPT-4,63,19,82,Conversation log
274,ChatGPT,40,14,54,API log
275,GPT-4,92,30,122,API log
276,ChatGPT,98,45,143,Conversation log
277,GPT-4,72,12,84,API log
278,ChatGPT,42,31,73,API log
279,GPT-4,55,5,60,Conversation log
280,ChatGPT,60,8,68,API log
281,GPT-4,16,23,39,API log
282,ChatGPT,17,3,20,Conversation log
283,GPT-4,53,31,84,API log
284,ChatGPT,60,28,88,API log
285,GPT-4,29,19,48,Conversation log
286,ChatGPT,33,37,70,API log
287,GPT-4,21,49,70,API log
288,ChatGPT,92,46,138,Conversation log
289,GPT-4,55,20,75,API log
290,ChatGPT,34,30,64,API log
291,GPT-4,80,14,94,Conversation log
292,ChatGPT,96,4,100,API log
293,GPT-4,36,40,76,API log
294,ChatGPT,90,20,110,Conversation log
295,GPT-4,79,23,102,API log
296,ChatGPT,81,20,101,API log
297,GPT-4,57,13,70,Conversation log
298,ChatGPT,91,35,126,API log
299,GPT-4,23,14,37,API log
300,ChatGPT,17,1,18,Conversation log
301,GPT-4,96,47,143,API log
302,ChatGPT,54,35,89,API log
303,GPT-4,46,48,94,Conversation log
304,ChatGPT,75,41,116,API log
305,GPT-4,36,32,68,API log
306,ChatGPT,67,49,116,Conversation log
307,GPT-4,86,13,99,API log
308,ChatGPT,82,7,89,API log
309,GPT-4,21,35,56,Conversation log
310,ChatGPT,97,34,131,API log
311,GPT-4,76,10,86,API log
312,ChatGPT,72,49,121,Conversation log
313,GPT-4,26,16,42,API log
314,ChatGPT,93,48,141,API log
315,GPT-4,45,27,72,Conversation log
316,ChatGPT,94,9,103,API log
317,GPT-4,30,20,50,API log
318,ChatGPT,18,6,24,Conversation log
319,GPT-4,85,17,102,API log
320,ChatGPT,62,27,89,API log
321,GPT-4,45,48,93,Conversation log
322,ChatGPT,97,48,145,API log
323,GPT-4,97,8,105,API log
324,ChatGPT,11,33,44,Conversation log
325,GPT-4,66,30,96,API log
326,ChatGPT,82,18,100,API log
327,GPT-4,72,1,73,Conversation log
328,ChatGPT,64,27,91,API log
329,GPT-4,56,4,60,API log
330,ChatGPT,58,40,98,Conversation log
331,GPT-4,37,10,47,API log
332,ChatGPT,22,38,60,API log
333,GPT-4,45,49,94,Conversation log
334,ChatGPT,72,24,96,API log
335,GPT-4,94,36,130,API log
336,ChatGPT,96,20,116,Conversation log
337,GPT-4,28,43,71,API log
338,ChatGPT,12,34,46,API log
339,GPT-4,98,2,100,Conversation log
340,ChatGPT,70,19,89,API log
341,GPT-4,78,34,112,API log
342,ChatGPT,83,24,107,Conversation log
343,GPT-4,42,21,63,API log
344,ChatGPT,87,22,109,API log
345,GPT-4,67,20,87,Conversation log
346,ChatGPT,67,26,93,API log
347,GPT-4,44,35,79,API log
348,ChatGPT,40,14,54,Conversation log
349,GPT-4,44,15,59,API log
350,ChatGPT,74,24,98,API log
351,GPT-4,55,25,80,Conversation log
352,ChatGPT,11,24,35,API log
353,GPT-4,11,13,24,API log
354,ChatGPT,27,35,62,Conversation log
355,GPT-4,54,19,73,API log
356,ChatGPT,63,30,93,API log
357,GPT-4,97,26,123,Conversation log
358,ChatGPT,80,39,119,API log
359,GPT-4,35,7,42,API log
360,ChatGPT,56,7,63,Conversation log
361,GPT-4,77,13,90,API log
362,ChatGPT,89,48,137,API log
363,GPT-4,49,21,70,Conversation log
364,ChatGPT,74,1,75,API log
365,GPT-4,28,23,51,API log
366,ChatGPT,51,13,64,Conversation log
367,GPT-4,91,40,131,API log
368,ChatGPT,44,1,45,API log
369,GPT-4,11,32,43,Conversation log
370,ChatGPT,81,1,82,API log
371,GPT-4,37,28,65,API log
372,ChatGPT,49,39,88,Conversation log
373,GPT-4,99,43,142,API log
374,ChatGPT,44,5,49,API log
375,GPT-4,33,9,42,Conversation log
376,ChatGPT,31,7,38,API log
377,GPT-4,86,5,91,API log
378,ChatGPT,29,1,30,Conversation log
379,GPT-4,64,19,83,API log
380,ChatGPT,31,22,53,API log
381,GPT-4,82,6,88,Conversation log
382,ChatGPT,74,41,115,API log
383,GPT-4,66,27,93,API log
384,ChatGPT,48,39,87,Conversation log
385,GPT-4,42,28,70,API log
386,ChatGPT,95,26,121,API log
387,GPT-4,78,6,84,Conversation log
388,ChatGPT,45,19,64,API log
389,GPT-4,12,35,47,API log
390,ChatGPT,21,12,33,Conversation log
391,GPT-4,50,27,77,API log
392,ChatGPT,51,32,83,API log
393,GPT-4,43,21,64,Conversation log
394,ChatGPT,98,49,147,API log
395,GPT-4,52,45,97,API log
396,ChatGPT,81,31,112,Conversation log
397,GPT-4,21,42,63,API log
398,ChatGPT,43,39,82,API log
399,GPT-4,30,11,41,Conversation log
400,ChatGPT,22,12,34,API log
401,GPT-4,60,8,68,API log
402,ChatGPT,22,5,27,Conversation log
403,GPT-4,44,45,89,API log
404,ChatGPT,71,20,91,API log
405,GPT-4,81,7,88,Conversation log
406,ChatGPT,60,14,74,API log
407,GPT-4,64,37,101,API log
408,ChatGPT,36,17,53,Conversation log
409,GPT-4,87,15,102,API log
410,ChatGPT,26,29,55,API log
411,GPT-4,75,18,93,Conversation log
412,ChatGPT,18,21,39,API log
413,GPT-4,64,27,91,API log
414,ChatGPT,32,17,49,Conversation log
415,GPT-4,35,46,81,API log
416,ChatGPT,41,34,75,API log
417,GPT-4,80,0,80,Conversation log
418,ChatGPT,81,40,121,API log
419,GPT-4,32,8,40,API log
420,ChatGPT,58,26,84,Conversation log
421,GPT-4,16,36,52,API log
422,ChatGPT,90,12,102,API log
423,GPT-4,96,19,115,Conversation log
424,ChatGPT,42,45,87,API log
425,GPT-4,58,14,72,API log
426,ChatGPT,58,5,63,Conversation log
427,GPT-4,79,48,127,API log
428,ChatGPT,16,19,35,API log
429,GPT-4,57,13,70,Conversation log
430,ChatGPT,85,46,131,API log
431,GPT-4,65,35,100,API log
432,ChatGPT,60,35,95,Conversation log
433,GPT-4,13,48,61,API log
434,ChatGPT,93,3,96,API log
435,GPT-4,26,38,64,Conversation log
436,ChatGPT,41,30,71,API log
437,GPT-4,70,35,105,API log
438,ChatGPT,51,29,80,Conversation log
439,GPT-4,61,36,97,API log
440,ChatGPT,63,36,99,API log
441,GPT-4,24,40,64,Conversation log
442,ChatGPT,11,16,27,API log
443,GPT-4,95,13,108,API log
444,ChatGPT,82,23,105,Conversation log
445,GPT-4,23,31,54,API log
446,ChatGPT,70,16,86,API log
447,GPT-4,55,40,95,Conversation log
448,ChatGPT,76,35,111,API log
449,GPT-4,22,44,66,API log
450,ChatGPT,73,31,104,Conversation log
451,GPT-4,74,45,119,API log
452,ChatGPT,99,21,120,API log
453,GPT-4,34,45,79,Conversation log
454,ChatGPT,48,34,82,API log
455,GPT-4,22,4,26,API log
456,ChatGPT,11,15,26,Conversation log
457,GPT-4,14,18,32,API log
458,ChatGPT,50,37,87,API log
459,GPT-4,25,22,47,Conversation log
460,ChatGPT,76,17,93,API log
461,GPT-4,27,44,71,API log
462,ChatGPT,66,48,114,Conversation log
463,GPT-4,58,20,78,API log
464,ChatGPT,39,12,51,API log
465,GPT-4,50,13,63,Conversation log
466,ChatGPT,99,12,111,API log
467,GPT-4,96,0,96,API log
468,ChatGPT,34,28,62,Conversation log
469,GPT-4,95,14,109,API log
470,ChatGPT,29,31,60,API log
471,GPT-4,81,39,120,Conversation log
472,ChatGPT,41,14,55,API log
473,GPT-4,70,1,71,API log
474,ChatGPT,68,28,96,Conversation log
475,GPT-4,86,8,94,API log
476,ChatGPT,44,31,75,API log
477,GPT-4,94,15,109,Conversation log
478,ChatGPT,89,42,131,API log
479,GPT-4,12,26,38,API log
480,ChatGPT,18,33,51,Conversation log
481,GPT-4,20,18,38,API log
482,ChatGPT,68,20,88,API log
483,GPT-4,42,44,86,Conversation log
484,ChatGPT,23,28,51,API log
485,GPT-4,18,10,28,API log
486,ChatGPT,92,5,97,Conversation log
487,GPT-4,63,28,91,API log
488,ChatGPT,13,41,54,API log
489,GPT-4,33,38,71,Conversation log
490,ChatGPT,69,2,71,API log
491,GPT-4,33,46,79,API log
492,ChatGPT,78,35,113,Conversation log
493,GPT-4,35,43,78,API log
494,ChatGPT,66,49,115,API log
495,GPT-4,18,6,24,Conversation log
496,ChatGPT,82,2,84,API log
497,GPT-4,76,39,115,API log
498,ChatGPT,58,48,106,Conversation log
499,GPT-4,68,33,101,API log
